country,Total_vaccin,Nombre_vaccin_utilisé,Date
Italy,100899557,3,2022-01-04
Latvia,2315538,3,2022-01-04
Peru,50956653,3,2022-01-04
Romania,15887687,4,2022-01-04
"South Korea",104847205,5,2022-01-04
Switzerland,14002998,3,2022-01-04
Ukraine,28596332,5,2022-01-04
"United States",512127105,3,2022-01-04
Uruguay,5439106,3,2022-01-04
Argentina,79772964,6,2022-01-05
Chile,33380382,4,2022-01-05
Czechia,15765352,4,2022-01-05
Ecuador,27889104,4,2022-01-05
"European Union",735059292,9,2022-01-05
France,126189269,4,2022-01-05
Germany,152461415,5,2022-01-05
"Hong Kong",10082454,2,2022-01-05
Iceland,4072,4,2022-01-05
Italy,101567206,3,2022-01-05
Latvia,2328581,3,2022-01-05
Peru,51272127,3,2022-01-05
Romania,15920447,4,2022-01-05
"South Korea",105278990,5,2022-01-05
Switzerland,14089066,3,2022-01-05
Ukraine,28701176,5,2022-01-05
"United States",513300641,3,2022-01-05
Uruguay,5439868,3,2022-01-05
Argentina,80315121,6,2022-01-06
Chile,33425535,4,2022-01-06
Czechia,15867280,4,2022-01-06
Ecuador,28008270,4,2022-01-06
"European Union",737018225,9,2022-01-06
France,126980457,4,2022-01-06
Germany,153142569,5,2022-01-06
"Hong Kong",10123989,2,2022-01-06
Iceland,7451,4,2022-01-06
Italy,101907780,3,2022-01-06
Latvia,2342148,3,2022-01-06
Peru,51590900,3,2022-01-06
Romania,15950969,4,2022-01-06
"South Korea",105767284,5,2022-01-06
Switzerland,14175822,3,2022-01-06
Ukraine,28773017,5,2022-01-06
"United States",514622127,3,2022-01-06
Uruguay,5439870,3,2022-01-06
Argentina,80879724,6,2022-01-07
Austria,16856528,5,2022-01-07
Belgium,22576207,5,2022-01-07
Bulgaria,3855134,4,2022-01-07
Chile,33471499,4,2022-01-07
Croatia,4843635,4,2022-01-07
Cyprus,1525149,4,2022-01-07
Czechia,15979128,4,2022-01-07
Denmark,11615135,4,2022-01-07
Ecuador,28127567,4,2022-01-07
Estonia,1911704,4,2022-01-07
"European Union",747967119,9,2022-01-07
Finland,10189705,4,2022-01-07
France,127861921,4,2022-01-07
Germany,153906871,5,2022-01-07
"Hong Kong",10169119,2,2022-01-07
Hungary,13448940,5,2022-01-07
Iceland,9098,4,2022-01-07
Ireland,10007718,4,2022-01-07
Italy,102596331,3,2022-01-07
Latvia,2620109,4,2022-01-07
Liechtenstein,65220,3,2022-01-07
Lithuania,4232475,4,2022-01-07
Luxembourg,1024516,4,2022-01-07
Malta,1109212,4,2022-01-07
Netherlands,31509285,5,2022-01-07
Norway,10144241,4,2022-01-07
Peru,51910375,3,2022-01-07
Poland,45761114,5,2022-01-07
Portugal,19066221,6,2022-01-07
Romania,15983827,4,2022-01-07
Slovakia,5450778,3,2022-01-07
Slovenia,2783015,4,2022-01-07
"South Korea",106500689,5,2022-01-07
Spain,89455436,4,2022-01-07
Sweden,16943569,4,2022-01-07
Switzerland,14264689,3,2022-01-07
Ukraine,28773017,5,2022-01-07
"United States",516054391,3,2022-01-07
Uruguay,5440246,3,2022-01-07
Argentina,81148714,6,2022-01-08
Chile,33475393,4,2022-01-08
Czechia,16013557,4,2022-01-08
Ecuador,28172752,4,2022-01-08
"European Union",749743838,9,2022-01-08
France,128397850,4,2022-01-08
Germany,154423317,5,2022-01-08
"Hong Kong",10205807,2,2022-01-08
Iceland,9114,4,2022-01-08
Italy,103237317,3,2022-01-08
Latvia,2365534,3,2022-01-08
Peru,52242936,3,2022-01-08
Romania,16024810,4,2022-01-08
"South Korea",106935425,5,2022-01-08
Switzerland,14315088,3,2022-01-08
Ukraine,28799967,5,2022-01-08
"United States",517477417,3,2022-01-08
Uruguay,5440250,3,2022-01-08
Argentina,81311755,6,2022-01-09
Chile,33475819,4,2022-01-09
Czechia,15146548,3,2022-01-09
Ecuador,28214660,4,2022-01-09
"European Union",750551180,9,2022-01-09
France,128562874,4,2022-01-09
Germany,154607923,5,2022-01-09
"Hong Kong",10233897,2,2022-01-09
Iceland,9115,4,2022-01-09
Italy,103658431,3,2022-01-09
Latvia,2367305,3,2022-01-09
Peru,52444445,3,2022-01-09
Romania,16039660,4,2022-01-09
"South Korea",106957447,5,2022-01-09
Switzerland,14338461,3,2022-01-09
Ukraine,28820343,5,2022-01-09
"United States",518790446,3,2022-01-09
Uruguay,5440250,3,2022-01-09
Argentina,81822791,6,2022-01-10
Chile,33525600,4,2022-01-10
Czechia,16112993,4,2022-01-10
Ecuador,28351474,4,2022-01-10
"European Union",752480538,9,2022-01-10
France,129150970,4,2022-01-10
Germany,155165732,5,2022-01-10
"Hong Kong",10279048,2,2022-01-10
Iceland,12520,4,2022-01-10
Italy,104327661,3,2022-01-10
Latvia,2639197,4,2022-01-10
Peru,52721387,3,2022-01-10
Romania,16065053,4,2022-01-10
"South Korea",107536153,5,2022-01-10
Switzerland,14410144,3,2022-01-10
Ukraine,28916728,5,2022-01-10
"United States",519620816,3,2022-01-10
Uruguay,5448205,3,2022-01-10
Argentina,82319948,6,2022-01-11
Chile,33569971,4,2022-01-11
Czechia,16200931,4,2022-01-11
Ecuador,28498440,4,2022-01-11
"European Union",754814621,9,2022-01-11
France,129838518,4,2022-01-11
Germany,155960362,5,2022-01-11
