country;total_vaccinations;Date;vaccine
Argentina;25795180;11/03/2022;Oxford/AstraZeneca
Argentina;6215202;11/03/2022;Moderna
Argentina;583461;11/03/2022;CanSino
Argentina;20351126;10/03/2022;Sputnik V
Argentina;28188938;10/03/2022;Sinopharm/Beijing
Argentina;13932230;10/03/2022;Pfizer/BioNTech
Argentina;25775879;10/03/2022;Oxford/AstraZeneca
Argentina;6199072;10/03/2022;Moderna
Argentina;581317;10/03/2022;CanSino
Argentina;20345480;09/03/2022;Sputnik V
Argentina;28176413;09/03/2022;Sinopharm/Beijing
Argentina;13868690;09/03/2022;Pfizer/BioNTech
Argentina;25759032;09/03/2022;Oxford/AstraZeneca
Argentina;6185215;09/03/2022;Moderna
Argentina;579083;09/03/2022;CanSino
Argentina;20339744;08/03/2022;Sputnik V
Argentina;28165605;08/03/2022;Sinopharm/Beijing
Argentina;13802791;08/03/2022;Pfizer/BioNTech
Argentina;25741133;08/03/2022;Oxford/AstraZeneca
Argentina;6170436;08/03/2022;Moderna
Argentina;576620;08/03/2022;CanSino
Argentina;20335175;07/03/2022;Sputnik V
Argentina;28155876;07/03/2022;Sinopharm/Beijing
Argentina;13750302;07/03/2022;Pfizer/BioNTech
Argentina;25722375;07/03/2022;Oxford/AstraZeneca
Argentina;6155175;07/03/2022;Moderna
Argentina;574806;07/03/2022;CanSino
Argentina;20329417;06/03/2022;Sputnik V
Argentina;28142044;06/03/2022;Sinopharm/Beijing
Argentina;13666409;06/03/2022;Pfizer/BioNTech
Argentina;25701973;06/03/2022;Oxford/AstraZeneca
Argentina;6130887;06/03/2022;Moderna
Argentina;571979;06/03/2022;CanSino
Argentina;20327620;05/03/2022;Sputnik V
Argentina;28138851;05/03/2022;Sinopharm/Beijing
Argentina;13633281;05/03/2022;Pfizer/BioNTech
Argentina;25696873;05/03/2022;Oxford/AstraZeneca
Argentina;6119539;05/03/2022;Moderna
Argentina;571780;05/03/2022;CanSino
Argentina;20325920;04/03/2022;Sputnik V
Argentina;28132271;04/03/2022;Sinopharm/Beijing
Argentina;13596480;04/03/2022;Pfizer/BioNTech
Argentina;25691113;04/03/2022;Oxford/AstraZeneca
Argentina;6112848;04/03/2022;Moderna
Argentina;571153;04/03/2022;CanSino
Argentina;20320904;03/03/2022;Sputnik V
Argentina;28114213;03/03/2022;Sinopharm/Beijing
Argentina;13524193;03/03/2022;Pfizer/BioNTech
Argentina;25683479;03/03/2022;Oxford/AstraZeneca
Argentina;6095323;03/03/2022;Moderna
Argentina;567893;03/03/2022;CanSino
Argentina;20316189;02/03/2022;Sputnik V
Argentina;28097797;02/03/2022;Sinopharm/Beijing
Argentina;13447039;02/03/2022;Pfizer/BioNTech
Argentina;25676640;02/03/2022;Oxford/AstraZeneca
Argentina;6078771;02/03/2022;Moderna
Argentina;564026;02/03/2022;CanSino
Argentina;20311113;01/03/2022;Sputnik V
Argentina;28079631;01/03/2022;Sinopharm/Beijing
Argentina;13368238;01/03/2022;Pfizer/BioNTech
Argentina;25669479;01/03/2022;Oxford/AstraZeneca
Argentina;6058988;01/03/2022;Moderna
Argentina;560220;01/03/2022;CanSino
Argentina;20310510;28/02/2022;Sputnik V
Argentina;28072732;28/02/2022;Sinopharm/Beijing
Argentina;13340860;28/02/2022;Pfizer/BioNTech
Argentina;25668512;28/02/2022;Oxford/AstraZeneca
