country,Total_vaccin,Nombre_vaccin_utilisé,Date
Latvia,1,1,2020-12-04
Latvia,1,1,2020-12-07
Latvia,2,1,2020-12-09
Latvia,3,1,2020-12-15
Latvia,4,1,2020-12-16
Latvia,5,1,2020-12-17
Latvia,9,1,2020-12-18
Denmark,2,1,2020-12-18
Latvia,14,2,2020-12-20
Latvia,14,1,2020-12-21
Switzerland,1,1,2020-12-21
Latvia,19,1,2020-12-22
Switzerland,3,2,2020-12-22
Latvia,23,1,2020-12-23
Switzerland,430,3,2020-12-23
Latvia,26,1,2020-12-24
Switzerland,695,3,2020-12-24
Chile,420,1,2020-12-24
Chile,5199,1,2020-12-25
Denmark,7,1,2020-12-25
Switzerland,696,3,2020-12-25
Latvia,29,1,2020-12-26
Switzerland,1132,3,2020-12-26
Chile,8340,1,2020-12-26
Chile,8649,1,2020-12-27
Czechia,1287,1,2020-12-27
"European Union",34615,9,2020-12-27
France,593,1,2020-12-27
Germany,24376,5,2020-12-27
Italy,7349,2,2020-12-27
Latvia,34,1,2020-12-27
Romania,965,1,2020-12-27
Switzerland,1132,3,2020-12-27
Italy,8854,2,2020-12-28
Latvia,640,1,2020-12-28
Romania,2066,1,2020-12-28
Switzerland,2760,3,2020-12-28
Chile,8649,1,2020-12-28
Czechia,3590,1,2020-12-28
"European Union",58880,9,2020-12-28
France,1242,1,2020-12-28
Germany,42477,5,2020-12-28
Argentina,20487,4,2020-12-29
Chile,8649,1,2020-12-29
Czechia,7063,1,2020-12-29
"European Union",116116,9,2020-12-29
France,1610,1,2020-12-29
Germany,93182,5,2020-12-29
Italy,9953,2,2020-12-29
Latvia,1523,2,2020-12-29
Romania,2778,1,2020-12-29
Switzerland,4456,3,2020-12-29
Italy,14838,2,2020-12-30
Latvia,2325,2,2020-12-30
Romania,5666,1,2020-12-30
Switzerland,6129,3,2020-12-30
Argentina,40589,4,2020-12-30
Chile,8649,1,2020-12-30
Czechia,10580,1,2020-12-30
"European Union",192844,9,2020-12-30
France,2043,1,2020-12-30
Germany,157385,5,2020-12-30
Argentina,43394,4,2020-12-31
Chile,8649,1,2020-12-31
Czechia,11891,1,2020-12-31
"European Union",275109,9,2020-12-31
France,2403,1,2020-12-31
Germany,207402,5,2020-12-31
Italy,40763,1,2020-12-31
Latvia,2332,2,2020-12-31
Romania,10289,1,2020-12-31
Switzerland,6382,3,2020-12-31
Hungary,1095,1,2021-01-01
Ireland,0,1,2021-01-01
Italy,52056,2,2021-01-01
Latvia,2332,1,2021-01-01
Lithuania,2422,1,2021-01-01
Luxembourg,0,1,2021-01-01
Malta,57,1,2021-01-01
Netherlands,0,5,2021-01-01
Norway,68,1,2021-01-01
Poland,2215,4,2021-01-01
Portugal,5159,4,2021-01-01
Romania,11656,1,2021-01-01
Slovakia,0,1,2021-01-01
Slovenia,4896,1,2021-01-01
Sweden,1865,4,2021-01-01
Switzerland,6390,3,2021-01-01
Argentina,43521,4,2021-01-01
Bulgaria,0,1,2021-01-01
Chile,8649,1,2021-01-01
Croatia,2087,1,2021-01-01
Cyprus,369,1,2021-01-01
Czechia,12160,2,2021-01-01
Denmark,5781,2,2021-01-01
Estonia,194,1,2021-01-01
"European Union",340977,9,2021-01-01
Finland,29,4,2021-01-01
France,3507,1,2021-01-01
Germany,233090,5,2021-01-01
Argentina,46833,4,2021-01-02
Chile,8649,1,2021-01-02
Czechia,13444,2,2021-01-02
"European Union",431359,9,2021-01-02
France,3856,1,2021-01-02
Germany,281175,5,2021-01-02
Italy,91132,2,2021-01-02
Latvia,2334,1,2021-01-02
Romania,13242,1,2021-01-02
Switzerland,6394,3,2021-01-02
Italy,127010,2,2021-01-03
Latvia,2338,1,2021-01-03
Romania,13596,1,2021-01-03
Switzerland,6398,3,2021-01-03
Argentina,47275,4,2021-01-03
Chile,8649,1,2021-01-03
Czechia,14371,2,2021-01-03
"European Union",491504,9,2021-01-03
France,4250,1,2021-01-03
Germany,303763,5,2021-01-03
Argentina,57735,4,2021-01-04
Chile,9054,1,2021-01-04
Czechia,17982,2,2021-01-04
"European Union",625653,9,2021-01-04
France,6324,1,2021-01-04
Germany,349978,5,2021-01-04
Italy,196638,3,2021-01-04
Latvia,3054,3,2021-01-04
Romania,25508,1,2021-01-04
Switzerland,10072,3,2021-01-04
Italy,276896,3,2021-01-05
Latvia,3940,1,2021-01-05
Romania,41609,1,2021-01-05
Switzerland,17207,3,2021-01-05
Argentina,68458,4,2021-01-05
Chile,10497,1,2021-01-05
Czechia,22509,2,2021-01-05
"European Union",786990,9,2021-01-05
France,13134,1,2021-01-05
Germany,402722,5,2021-01-05
Argentina,78567,4,2021-01-06
Chile,10703,1,2021-01-06
Czechia,28357,2,2021-01-06
"European Union",951203,9,2021-01-06
France,25409,1,2021-01-06
Germany,465904,5,2021-01-06
Italy,342075,3,2021-01-06
Latvia,4734,2,2021-01-06
Romania,58554,1,2021-01-06
Switzerland,23053,3,2021-01-06
Italy,434720,3,2021-01-07
Latvia,5536,1,2021-01-07
Romania,76400,1,2021-01-07
Switzerland,30272,3,2021-01-07
Argentina,96788,4,2021-01-07
Chile,10703,1,2021-01-07
Czechia,36356,2,2021-01-07
"European Union",1154942,9,2021-01-07
France,54840,1,2021-01-07
Germany,520909,5,2021-01-07
Argentina,124669,4,2021-01-08
Austria,31655,5,2021-01-08
Belgium,28332,5,2021-01-08
Bulgaria,13473,2,2021-01-08
Chile,10704,1,2021-01-08
Croatia,31853,2,2021-01-08
Cyprus,3010,1,2021-01-08
Czechia,46409,2,2021-01-08
Denmark,103999,4,2021-01-08
Estonia,11149,1,2021-01-08
"European Union",2606073,9,2021-01-08
Finland,21694,4,2021-01-08
France,91948,1,2021-01-08
Germany,583781,5,2021-01-08
Hungary,71815,1,2021-01-08
Ireland,52654,4,2021-01-08
Italy,531689,2,2021-01-08
Latvia,6457,1,2021-01-08
Liechtenstein,4,3,2021-01-08
Lithuania,23567,1,2021-01-08
Luxembourg,1285,1,2021-01-08
Malta,4546,2,2021-01-08
Netherlands,33757,5,2021-01-08
Norway,23622,3,2021-01-08
Poland,213489,4,2021-01-08
Portugal,85556,6,2021-01-08
Romania,92706,1,2021-01-08
Slovakia,30160,1,2021-01-08
Slovenia,28648,1,2021-01-08
Spain,419905,4,2021-01-08
Sweden,42509,4,2021-01-08
Switzerland,38322,3,2021-01-08
Italy,619950,2,2021-01-09
Latvia,6779,3,2021-01-09
Romania,102301,1,2021-01-09
Switzerland,40472,3,2021-01-09
Argentina,134878,4,2021-01-09
Chile,10704,1,2021-01-09
Czechia,48439,2,2021-01-09
"European Union",2778247,9,2021-01-09
France,103156,1,2021-01-09
Germany,644550,5,2021-01-09
Argentina,136053,4,2021-01-10
Chile,10705,1,2021-01-10
Czechia,50188,1,2021-01-10
"European Union",2889283,9,2021-01-10
France,109143,1,2021-01-10
Germany,680566,5,2021-01-10
Italy,680879,2,2021-01-10
Latvia,7115,2,2021-01-10
Romania,108294,1,2021-01-10
Switzerland,40508,3,2021-01-10
Italy,763081,3,2021-01-11
Latvia,8492,2,2021-01-11
Romania,125190,1,2021-01-11
Switzerland,47927,3,2021-01-11
Argentina,155877,4,2021-01-11
Chile,10705,1,2021-01-11
Czechia,60070,2,2021-01-11
"European Union",3108173,9,2021-01-11
France,149060,1,2021-01-11
Germany,749221,5,2021-01-11
Argentina,175263,4,2021-01-12
Chile,10705,1,2021-01-12
Czechia,73528,2,2021-01-12
"European Union",3363346,9,2021-01-12
France,211159,1,2021-01-12
Germany,828403,5,2021-01-12
Italy,846599,2,2021-01-12
Latvia,10135,3,2021-01-12
Romania,140447,1,2021-01-12
Switzerland,58348,3,2021-01-12
"United States",9324556,2,2021-01-12
"United States",10275667,2,2021-01-13
Argentina,192029,4,2021-01-13
Chile,11738,1,2021-01-13
Czechia,87075,2,2021-01-13
"European Union",3665090,9,2021-01-13
France,276213,1,2021-01-13
Germany,940712,5,2021-01-13
Italy,942088,2,2021-01-13
Latvia,11655,2,2021-01-13
Romania,154268,1,2021-01-13
Switzerland,69443,3,2021-01-13
Italy,1036656,3,2021-01-14
Latvia,13505,3,2021-01-14
Romania,168089,1,2021-01-14
Switzerland,80059,3,2021-01-14
Argentina,208675,4,2021-01-14
Chile,18655,1,2021-01-14
Czechia,102332,2,2021-01-14
"European Union",3957877,9,2021-01-14
France,359357,2,2021-01-14
Germany,1024863,5,2021-01-14
Argentina,226110,4,2021-01-15
Austria,117277,5,2021-01-15
Belgium,127709,5,2021-01-15
Bulgaria,18453,2,2021-01-15
Chile,22086,1,2021-01-15
Croatia,50613,3,2021-01-15
Cyprus,7757,2,2021-01-15
Czechia,116355,2,2021-01-15
Denmark,154548,4,2021-01-15
Estonia,18691,2,2021-01-15
"European Union",5690841,9,2021-01-15
Finland,62547,4,2021-01-15
France,428332,2,2021-01-15
Germany,1116686,5,2021-01-15
"United States",12275930,2,2021-01-15
Hungary,123560,2,2021-01-15
Ireland,101602,3,2021-01-15
Italy,1127691,2,2021-01-15
Latvia,15380,3,2021-01-15
Liechtenstein,44,3,2021-01-15
Lithuania,52300,2,2021-01-15
Luxembourg,2778,2,2021-01-15
Malta,11032,3,2021-01-15
Netherlands,76956,5,2021-01-15
Norway,52913,3,2021-01-15
Poland,486606,4,2021-01-15
Portugal,137283,5,2021-01-15
Romania,184146,1,2021-01-15
Slovakia,63469,2,2021-01-15
Slovenia,46910,1,2021-01-15
Spain,928637,4,2021-01-15
Sweden,113493,4,2021-01-15
Switzerland,90848,3,2021-01-15
Italy,1193826,2,2021-01-16
Latvia,16061,3,2021-01-16
Romania,196567,1,2021-01-16
Switzerland,95215,3,2021-01-16
Argentina,231993,4,2021-01-16
Chile,22176,1,2021-01-16
Czechia,119763,2,2021-01-16
"European Union",5851854,9,2021-01-16
France,448609,2,2021-01-16
Germany,1174782,5,2021-01-16
Argentina,233054,4,2021-01-17
Chile,22176,1,2021-01-17
Czechia,123020,2,2021-01-17
"European Union",5959811,9,2021-01-17
France,459629,2,2021-01-17
Germany,1222606,5,2021-01-17
Italy,1231460,2,2021-01-17
Latvia,15207,2,2021-01-17
Romania,204662,1,2021-01-17
Switzerland,95880,3,2021-01-17
Italy,1276150,3,2021-01-18
Latvia,17048,3,2021-01-18
Romania,234899,1,2021-01-18
Switzerland,108105,3,2021-01-18
Argentina,242885,4,2021-01-18
Chile,33227,1,2021-01-18
Czechia,137341,2,2021-01-18
"European Union",6219154,9,2021-01-18
France,545603,2,2021-01-18
Germany,1305869,5,2021-01-18
Argentina,256132,4,2021-01-19
Chile,52594,1,2021-01-19
Czechia,152683,2,2021-01-19
"European Union",6554324,9,2021-01-19
France,676297,2,2021-01-19
Germany,1425683,5,2021-01-19
Italy,1309770,2,2021-01-19
Latvia,17937,3,2021-01-19
Romania,269706,1,2021-01-19
Switzerland,125400,3,2021-01-19
"United States",15703372,2,2021-01-19
"United States",16520813,2,2021-01-20
Argentina,275552,4,2021-01-20
Chile,61903,1,2021-01-20
Czechia,169046,2,2021-01-20
Ecuador,17,1,2021-01-20
"European Union",6911921,9,2021-01-20
France,813957,2,2021-01-20
Germany,1558593,5,2021-01-20
Italy,1341306,2,2021-01-20
Latvia,18727,3,2021-01-20
Romania,308044,1,2021-01-20
Switzerland,145843,3,2021-01-20
Italy,1377880,2,2021-01-21
Latvia,19005,2,2021-01-21
Romania,347756,1,2021-01-21
Switzerland,169070,3,2021-01-21
"United States",17541710,2,2021-01-21
Argentina,289666,4,2021-01-21
Chile,64959,1,2021-01-21
Czechia,186443,2,2021-01-21
Ecuador,3008,1,2021-01-21
"European Union",7269964,9,2021-01-21
France,972452,2,2021-01-21
Germany,1664163,5,2021-01-21
Argentina,298880,4,2021-01-22
Austria,215364,5,2021-01-22
Belgium,251227,5,2021-01-22
Bulgaria,26143,2,2021-01-22
Chile,65374,1,2021-01-22
Croatia,74864,2,2021-01-22
Cyprus,15015,2,2021-01-22
Czechia,202381,2,2021-01-22
Denmark,189416,4,2021-01-22
Ecuador,3811,1,2021-01-22
Estonia,26774,2,2021-01-22
"European Union",9036444,9,2021-01-22
Finland,120745,4,2021-01-22
France,1093645,2,2021-01-22
Germany,1766517,5,2021-01-22
Hungary,156165,2,2021-01-22
Ireland,151686,3,2021-01-22
Italy,1405331,3,2021-01-22
Latvia,19238,3,2021-01-22
Liechtenstein,378,3,2021-01-22
Lithuania,68336,2,2021-01-22
Luxembourg,5373,2,2021-01-22
Malta,18905,3,2021-01-22
Netherlands,166299,5,2021-01-22
Norway,83682,3,2021-01-22
Poland,730288,4,2021-01-22
Portugal,293141,6,2021-01-22
Romania,385596,1,2021-01-22
Slovakia,101408,1,2021-01-22
Slovenia,60519,2,2021-01-22
Spain,1269903,4,2021-01-22
Sweden,222124,4,2021-01-22
Switzerland,189049,3,2021-01-22
"United States",19102975,2,2021-01-22
"United States",20532569,2,2021-01-23
Argentina,302824,4,2021-01-23
Chile,65374,1,2021-01-23
Czechia,206578,2,2021-01-23
Ecuador,3848,1,2021-01-23
"European Union",9238672,9,2021-01-23
France,1132153,2,2021-01-23
Germany,1853576,5,2021-01-23
Italy,1444702,2,2021-01-23
Latvia,19389,3,2021-01-23
Romania,418545,1,2021-01-23
Switzerland,194865,3,2021-01-23
Italy,1478740,2,2021-01-24
Latvia,18149,1,2021-01-24
Romania,445945,1,2021-01-24
Switzerland,196047,3,2021-01-24
"United States",21843033,2,2021-01-24
Argentina,303127,4,2021-01-24
Chile,65374,1,2021-01-24
Czechia,209705,2,2021-01-24
Ecuador,3848,1,2021-01-24
"European Union",9360858,9,2021-01-24
France,1141939,2,2021-01-24
Germany,1901406,5,2021-01-24
Argentina,317336,4,2021-01-25
Chile,66794,1,2021-01-25
Czechia,222332,2,2021-01-25
Ecuador,5116,1,2021-01-25
"European Union",9652623,9,2021-01-25
France,1221368,2,2021-01-25
Germany,1992439,5,2021-01-25
Italy,1548387,2,2021-01-25
Latvia,20080,5,2021-01-25
Romania,484291,1,2021-01-25
Switzerland,213397,3,2021-01-25
"United States",22636431,2,2021-01-25
"United States",23441447,2,2021-01-26
Argentina,330141,4,2021-01-26
Chile,67408,1,2021-01-26
Czechia,236871,2,2021-01-26
Ecuador,5876,1,2021-01-26
"European Union",9994674,9,2021-01-26
France,1324843,2,2021-01-26
Germany,2090987,5,2021-01-26
Italy,1629257,2,2021-01-26
Latvia,20947,3,2021-01-26
Romania,528038,1,2021-01-26
Switzerland,238392,3,2021-01-26
Italy,1700521,3,2021-01-27
Latvia,21783,3,2021-01-27
Romania,570364,1,2021-01-27
Switzerland,262789,3,2021-01-27
"United States",24552826,2,2021-01-27
Argentina,340245,4,2021-01-27
Chile,67443,1,2021-01-27
Czechia,250438,2,2021-01-27
Ecuador,6580,1,2021-01-27
"European Union",10345028,9,2021-01-27
France,1437726,2,2021-01-27
Germany,2200473,5,2021-01-27
Argentina,356295,4,2021-01-28
Chile,67443,1,2021-01-28
Czechia,263677,2,2021-01-28
Ecuador,6802,1,2021-01-28
"European Union",10723304,9,2021-01-28
France,1576457,2,2021-01-28
Germany,2293049,5,2021-01-28
Italy,1794754,2,2021-01-28
Latvia,22581,4,2021-01-28
Romania,609056,1,2021-01-28
Switzerland,289576,3,2021-01-28
"United States",26093572,2,2021-01-28
"United States",27784068,2,2021-01-29
Argentina,379788,4,2021-01-29
Austria,264590,5,2021-01-29
Belgium,343805,5,2021-01-29
Bulgaria,41125,2,2021-01-29
Chile,67448,1,2021-01-29
Croatia,91663,2,2021-01-29
Cyprus,22296,2,2021-01-29
Czechia,277803,2,2021-01-29
Denmark,248054,3,2021-01-29
Ecuador,7091,2,2021-01-29
Estonia,39567,2,2021-01-29
"European Union",12910152,9,2021-01-29
Finland,177281,4,2021-01-29
France,1685948,2,2021-01-29
Germany,2400836,5,2021-01-29
Hungary,303019,2,2021-01-29
Ireland,205738,3,2021-01-29
Italy,1893925,2,2021-01-29
Latvia,23547,3,2021-01-29
Liechtenstein,816,3,2021-01-29
Lithuania,94060,2,2021-01-29
Luxembourg,8710,2,2021-01-29
Malta,26526,1,2021-01-29
Netherlands,351277,5,2021-01-29
Norway,133105,3,2021-01-29
Poland,1203738,4,2021-01-29
Portugal,381825,6,2021-01-29
Romania,646660,1,2021-01-29
Slovakia,148538,2,2021-01-29
Slovenia,78337,2,2021-01-29
Spain,1645761,4,2021-01-29
Sweden,305463,4,2021-01-29
Switzerland,313532,3,2021-01-29
Italy,1984726,3,2021-01-30
Latvia,23868,3,2021-01-30
Romania,672056,1,2021-01-30
Switzerland,319882,3,2021-01-30
"United States",29476957,2,2021-01-30
Argentina,389100,4,2021-01-30
Chile,67449,1,2021-01-30
Czechia,279632,2,2021-01-30
Ecuador,7091,2,2021-01-30
"European Union",13149927,9,2021-01-30
France,1719270,2,2021-01-30
Germany,2488951,5,2021-01-30
Argentina,389724,4,2021-01-31
Chile,67450,1,2021-01-31
Czechia,281532,2,2021-01-31
Ecuador,7133,2,2021-01-31
"European Union",13295369,9,2021-01-31
France,1726195,2,2021-01-31
Germany,2546191,5,2021-01-31
Italy,2044734,3,2021-01-31
Latvia,24218,3,2021-01-31
Romania,691075,1,2021-01-31
Switzerland,321371,3,2021-01-31
"United States",31022005,2,2021-01-31
"United States",32121007,2,2021-02-01
Argentina,409245,4,2021-02-01
Chile,67451,1,2021-02-01
Czechia,293483,2,2021-02-01
Ecuador,8521,2,2021-02-01
"European Union",13619184,9,2021-02-01
France,1800382,2,2021-02-01
Germany,2666647,5,2021-02-01
Italy,2130987,3,2021-02-01
Latvia,25417,3,2021-02-01
Romania,720844,1,2021-02-01
Switzerland,337653,3,2021-02-01
Italy,2219634,4,2021-02-02
Latvia,27247,3,2021-02-02
Romania,748392,1,2021-02-02
Switzerland,357191,3,2021-02-02
"United States",32679431,2,2021-02-02
Argentina,433116,4,2021-02-02
Chile,80648,2,2021-02-02
Czechia,307876,2,2021-02-02
Ecuador,9722,2,2021-02-02
"European Union",13991338,9,2021-02-02
France,1907258,2,2021-02-02
Germany,2799525,5,2021-02-02
Argentina,459724,4,2021-02-03
Chile,251043,2,2021-02-03
Czechia,323325,2,2021-02-03
Ecuador,12358,2,2021-02-03
"European Union",14404615,9,2021-02-03
France,2016581,2,2021-02-03
Germany,2962631,5,2021-02-03
Italy,2319907,3,2021-02-03
Latvia,28844,2,2021-02-03
Romania,771862,1,2021-02-03
Switzerland,376474,3,2021-02-03
"United States",33776392,2,2021-02-03
"United States",35101411,2,2021-02-04
Argentina,487837,4,2021-02-04
Chile,427210,2,2021-02-04
Czechia,341226,2,2021-02-04
Ecuador,12467,3,2021-02-04
"European Union",14822458,9,2021-02-04
France,2148748,2,2021-02-04
Germany,3097265,5,2021-02-04
Italy,2428957,4,2021-02-04
Latvia,30361,2,2021-02-04
Romania,794455,2,2021-02-04
Switzerland,397119,3,2021-02-04
Hungary,396773,4,2021-02-05
Ireland,259243,4,2021-02-05
Italy,2537168,3,2021-02-05
Latvia,32082,4,2021-02-05
Liechtenstein,923,3,2021-02-05
Lithuania,124798,2,2021-02-05
Luxembourg,12603,3,2021-02-05
Malta,39457,3,2021-02-05
Netherlands,571197,5,2021-02-05
Norway,231227,3,2021-02-05
Poland,1700007,4,2021-02-05
Portugal,444276,6,2021-02-05
Romania,821212,2,2021-02-05
Slovakia,217159,3,2021-02-05
Slovenia,97356,2,2021-02-05
Spain,2165433,4,2021-02-05
Sweden,397148,4,2021-02-05
Switzerland,416634,3,2021-02-05
"United States",36716509,2,2021-02-05
Argentina,520859,5,2021-02-05
Austria,362885,5,2021-02-05
Belgium,483562,5,2021-02-05
Bulgaria,57038,3,2021-02-05
Chile,596730,2,2021-02-05
Croatia,109486,4,2021-02-05
Cyprus,29644,1,2021-02-05
Czechia,357376,2,2021-02-05
Denmark,305671,4,2021-02-05
Ecuador,12470,3,2021-02-05
Estonia,54751,2,2021-02-05
"European Union",17317366,9,2021-02-05
Finland,233336,4,2021-02-05
France,2262386,2,2021-02-05
Germany,3244872,5,2021-02-05
Argentina,531783,5,2021-02-06
Chile,624590,2,2021-02-06
Czechia,360600,3,2021-02-06
Ecuador,12471,3,2021-02-06
"European Union",17546641,9,2021-02-06
France,2295999,3,2021-02-06
Germany,3339088,5,2021-02-06
Italy,2615531,3,2021-02-06
Latvia,32657,3,2021-02-06
Romania,840472,2,2021-02-06
Switzerland,419987,3,2021-02-06
"United States",38934727,2,2021-02-06
"United States",41107282,2,2021-02-07
Argentina,533166,5,2021-02-07
Chile,633232,2,2021-02-07
Czechia,363952,3,2021-02-07
Ecuador,12471,3,2021-02-07
"European Union",17671867,9,2021-02-07
France,2306227,3,2021-02-07
Germany,3392673,5,2021-02-07
Italy,2657968,3,2021-02-07
Latvia,30978,3,2021-02-07
Romania,855982,2,2021-02-07
Switzerland,421182,3,2021-02-07
Italy,2725248,4,2021-02-08
Latvia,33211,3,2021-02-08
Peru,9,1,2021-02-08
Romania,891008,2,2021-02-08
Switzerland,439713,3,2021-02-08
"United States",42313789,2,2021-02-08
Argentina,556582,5,2021-02-08
Chile,866538,2,2021-02-08
Czechia,379477,3,2021-02-08
Ecuador,12473,3,2021-02-08
"European Union",17992517,9,2021-02-08
France,2399129,3,2021-02-08
Germany,3502193,5,2021-02-08
Argentina,576778,5,2021-02-09
Chile,1128452,2,2021-02-09
Czechia,396501,3,2021-02-09
Ecuador,12473,3,2021-02-09
"European Union",18389083,9,2021-02-09
France,2537618,3,2021-02-09
Germany,3636958,5,2021-02-09
Italy,2792508,3,2021-02-09
Latvia,33405,3,2021-02-09
Peru,3762,1,2021-02-09
Romania,929815,2,2021-02-09
Switzerland,465174,3,2021-02-09
"United States",43102171,2,2021-02-09
"United States",44665289,2,2021-02-10
Argentina,592397,5,2021-02-10
Chile,1409267,2,2021-02-10
Czechia,415281,3,2021-02-10
Ecuador,12478,3,2021-02-10
"European Union",18825972,9,2021-02-10
France,2685344,3,2021-02-10
Germany,3792520,5,2021-02-10
Italy,2865862,3,2021-02-10
Latvia,34060,3,2021-02-10
Peru,20365,1,2021-02-10
Romania,970627,2,2021-02-10
Switzerland,491933,3,2021-02-10
Italy,2941189,3,2021-02-11
Latvia,35865,3,2021-02-11
Peru,54489,1,2021-02-11
Romania,1009081,2,2021-02-11
Switzerland,519433,3,2021-02-11
"United States",46284956,2,2021-02-11
Argentina,610246,5,2021-02-11
Chile,1663572,2,2021-02-11
Czechia,437844,3,2021-02-11
Ecuador,14004,3,2021-02-11
"European Union",19295170,9,2021-02-11
France,2871655,3,2021-02-11
Germany,3937258,5,2021-02-11
Argentina,626074,5,2021-02-12
Austria,480183,5,2021-02-12
Belgium,630671,5,2021-02-12
Bulgaria,75388,3,2021-02-12
Chile,1893072,2,2021-02-12
Croatia,138854,3,2021-02-12
Cyprus,41313,3,2021-02-12
Czechia,459423,3,2021-02-12
Denmark,370075,3,2021-02-12
Ecuador,14423,3,2021-02-12
Estonia,69992,3,2021-02-12
"European Union",21889883,9,2021-02-12
Finland,290147,4,2021-02-12
France,3025252,3,2021-02-12
Germany,4093521,5,2021-02-12
Hungary,479842,4,2021-02-12
Ireland,292459,4,2021-02-12
Italy,3015735,3,2021-02-12
Latvia,37618,3,2021-02-12
Liechtenstein,1259,3,2021-02-12
Lithuania,153164,3,2021-02-12
Luxembourg,16070,3,2021-02-12
Malta,50564,3,2021-02-12
Netherlands,788020,5,2021-02-12
Norway,317419,3,2021-02-12
Peru,86863,1,2021-02-12
Poland,2177192,4,2021-02-12
Portugal,585654,6,2021-02-12
Romania,1048456,2,2021-02-12
Slovakia,299239,3,2021-02-12
Slovenia,118449,3,2021-02-12
Spain,2644545,4,2021-02-12
Sweden,508013,4,2021-02-12
Switzerland,545829,3,2021-02-12
"United States",48304343,2,2021-02-12
"United States",50535032,2,2021-02-13
Argentina,629111,5,2021-02-13
Chile,1922637,2,2021-02-13
Czechia,464029,3,2021-02-13
Ecuador,14464,3,2021-02-13
"European Union",22132896,9,2021-02-13
France,3067123,3,2021-02-13
Germany,4201408,5,2021-02-13
Italy,3068675,3,2021-02-13
Latvia,38028,3,2021-02-13
Peru,105735,1,2021-02-13
Romania,1083755,2,2021-02-13
Switzerland,552773,3,2021-02-13
Italy,3098707,3,2021-02-14
Latvia,38067,5,2021-02-14
Peru,111018,1,2021-02-14
Romania,1113634,2,2021-02-14
Switzerland,554119,3,2021-02-14
"United States",52777110,2,2021-02-14
Argentina,629263,5,2021-02-14
Chile,1927105,2,2021-02-14
Czechia,466421,3,2021-02-14
Ecuador,14464,3,2021-02-14
"European Union",22273014,9,2021-02-14
France,3079431,3,2021-02-14
Germany,4266884,5,2021-02-14
Argentina,630578,5,2021-02-15
Chile,2193008,2,2021-02-15
Czechia,482192,3,2021-02-15
Ecuador,14465,3,2021-02-15
"European Union",22630366,9,2021-02-15
France,3194092,3,2021-02-15
Germany,4392758,5,2021-02-15
Italy,3161729,3,2021-02-15
Latvia,38949,4,2021-02-15
Peru,122499,1,2021-02-15
Romania,1150771,3,2021-02-15
Switzerland,573050,3,2021-02-15
Italy,3233233,3,2021-02-16
Latvia,40350,3,2021-02-16
Peru,130005,1,2021-02-16
Romania,1188673,3,2021-02-16
Switzerland,598059,3,2021-02-16
Argentina,631889,5,2021-02-16
Chile,2413110,2,2021-02-16
Czechia,499995,3,2021-02-16
Ecuador,14465,3,2021-02-16
"European Union",23044891,9,2021-02-16
France,3345043,3,2021-02-16
Germany,4527716,5,2021-02-16
"United States",55112793,2,2021-02-16
"United States",56173731,2,2021-02-17
Italy,3313988,3,2021-02-17
Japan,125,1,2021-02-17
Latvia,42374,3,2021-02-17
Peru,133950,1,2021-02-17
Romania,1231992,3,2021-02-17
Switzerland,622247,3,2021-02-17
Argentina,656276,5,2021-02-17
Chile,2601161,2,2021-02-17
Czechia,518009,3,2021-02-17
Ecuador,14542,3,2021-02-17
"European Union",23494557,9,2021-02-17
France,3498652,3,2021-02-17
Germany,4679661,5,2021-02-17
Argentina,720083,5,2021-02-18
Chile,2756453,2,2021-02-18
Czechia,538426,3,2021-02-18
Ecuador,38171,3,2021-02-18
"European Union",23980562,9,2021-02-18
France,3686995,3,2021-02-18
Germany,4824881,5,2021-02-18
"United States",57629040,2,2021-02-18
Italy,3404625,3,2021-02-18
Japan,611,1,2021-02-18
Latvia,43942,3,2021-02-18
Peru,141356,1,2021-02-18
Romania,1271812,3,2021-02-18
Switzerland,650876,3,2021-02-18
Hungary,661033,5,2021-02-19
Ireland,378256,4,2021-02-19
Italy,3498312,3,2021-02-19
Japan,5039,1,2021-02-19
Latvia,45330,3,2021-02-19
Liechtenstein,1952,3,2021-02-19
Lithuania,189359,3,2021-02-19
Luxembourg,22091,3,2021-02-19
Malta,66496,3,2021-02-19
Netherlands,1037789,5,2021-02-19
Norway,407604,3,2021-02-19
Peru,171892,1,2021-02-19
Poland,2774687,4,2021-02-19
Portugal,740636,7,2021-02-19
Romania,1309940,3,2021-02-19
Slovakia,371597,3,2021-02-19
Slovenia,142624,3,2021-02-19
Spain,3168434,4,2021-02-19
Sweden,656489,4,2021-02-19
Switzerland,675438,3,2021-02-19
Argentina,787950,5,2021-02-19
Austria,583549,5,2021-02-19
Belgium,748089,5,2021-02-19
Bulgaria,119353,3,2021-02-19
Chile,2898605,2,2021-02-19
Croatia,180355,4,2021-02-19
Cyprus,55443,3,2021-02-19
Czechia,557667,3,2021-02-19
Denmark,457366,3,2021-02-19
Ecuador,43474,3,2021-02-19
Estonia,90761,3,2021-02-19
"European Union",27057631,9,2021-02-19
Finland,375167,4,2021-02-19
France,3842773,3,2021-02-19
Germany,4983990,5,2021-02-19
"United States",59475583,2,2021-02-19
"United States",61179554,2,2021-02-20
Italy,3576915,3,2021-02-20
Latvia,46092,3,2021-02-20
Peru,198011,1,2021-02-20
Romania,1342864,3,2021-02-20
